0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Tighe, Joseph; Lazebnik, Svetlana; ",Superparsing: scalable nonparametric image parsing with superpixels,ECCV,10,2010,Superparsing,IJCV,Superparsing,10,2012,,,,,
"Tighe, Joseph; Lazebnik, Svetlana; ",Understanding scenes on many levels,ICCV,10,2011,ManyLevels,,,,,,,,,
"Raguram, Rahul; Tighe, Joseph; Frahm, Jan-Michael; ",Improved Geometric Verification for Large Scale Landmark Image Collections.,BMVC,8,2012,GeoVerification,,,,,,,,,
"Tighe, Joseph; Lazebnik, Svetlana; ",Finding things: Image parsing with regions and per-exemplar detectors,CVPR,6,2013,FindingThings,,,,,,,,,
"Tighe, Joseph; Niethammer, Marc; Lazebnik, Svetlana; ",Scene Parsing with Object Instances and Occlusion Ordering,CVPR,6,2014,OcclusionOrdering,,,,,,,,,
"Wang, Ke; Dunn, Enrique; Tighe, Joseph; Frahm, Jan-Michael; ",Combining semantic scene priors and haze removal for single image depth estimation,WACV,1,2014,SemanticDepth,,,,,,,,,
"Tighe, Joseph; Niethammer, Marc; Lazebnik, Svetlana; ",Scene parsing with object instance inference using regions and per-exemplar detectors,IJCV,11,2014,SceneJournal,,,,,,,,,
"Varior, Rahul Rama; Shuai, Bing; Tighe, Joseph; Modolo, Davide; ",Scale-Aware Attention Network for Crowd Counting,arXiv preprint,1,2019,ScaleCrowd,,,,,,,,,
"Martinez, Brais; Modolo, Davide; Xiong, Yuanjun; Tighe, Joseph; ",Action recognition with spatial-temporal discriminative filter banks,ICCV,10,2019,ActionFinegrain,,,,,,,,,
"Brattoli, Biagio; Tighe, Joseph; Zhdanov, Fedor; Perona, Pietro; Chalupka, Krzysztof; ",Rethinking zero-shot video classification: End-to-end training for realistic applications,CVPR,6,2020,VideoZeroShot,,,,,,,,,
"Modolo, Davide; Shuai, Bing; Varior, Rahul Rama; Tighe, Joseph; ",Understanding the impact of mistakes on background regions in crowd counting,WACV,1,2021,CrowdBackground,,,,,,,,,
"Wang, Manchen; Tighe, Joseph; Modolo, Davide; ",Combining detection and tracking for human pose estimation in videos,CVPR,6,2020,PoseTracking,,,,,,,,,
"Shuai, Bing; Berneshawi, Andrew G; Modolo, Davide; Tighe, Joseph; ",Multi-object tracking with siamese track-rcnn,arXiv preprint,4,2020,TrackRCNN,,,,,,,,,
"Li, Xinyu; Shuai, Bing; Tighe, Joseph; ",Directional temporal modeling for action recognition,ECCV,9,2020,DTM,,,,,,,,,
"Shuai, Bing; Berneshawi, Andrew; Wang, Manchen; Liu, Chunhui; Modolo, Davide; Li, Xinyu; Tighe, Joseph; ",Application of Multi-Object Tracking with Siamese Track-RCNN to the Human in Events Dataset,ICM,10,2020,HIETrackRCNN,,,,,,,,,
"Kundu, Kaustav; Tighe, Joseph; ",Exploiting weakly supervised visual patterns to learn from partial annotations,NeurIPS,12,2020,PartialLabels,,,,,,,,,
"Zhu, Yi; Li, Xinyu; Liu, Chunhui; Zolfaghari, Mohammadreza; Xiong, Yuanjun; Wu, Chongruo; Zhang, Zhi; Tighe, Joseph; Manmatha, R; Li, Mu; ",A comprehensive study of deep video action recognition,arXiv preprint,12,2020,VideoStudy,,,,,,,,,
"Liu, Chunhui; Li, Xinyu; Chen, Hao; Modolo, Davide; Tighe, Joseph; ",Selective Feature Compression for Efficient Activity Recognition Inference,ICCV,10,2021,FeatureCompression,,,,,,,,,
"Shuai, Bing; Berneshawi, Andrew; Li, Xinyu; Modolo, Davide; Tighe, Joseph; ",SiamMOT: Siamese Multi-Object Tracking,CVPR,6,2021,SiamMOT,,,,,,,,,
"Zhao, Jiaojiao; Li, Xinyu; Liu, Chunhui; Bing, Shuai; Chen, Hao; Snoek, Cees GM; Tighe, Joseph; ",TubeR: Tube-Transformer for Action Detection,arXiv preprint,4,2021,TubeR,,,,,,,,,
"Li, Xinyu; Zhang, Yanyi; Liu, Chunhui; Shuai, Bing; Zhu, Yi; Brattoli, Biagio; Chen, Hao; Marsic, Ivan; Tighe, Joseph; ",VidTr: Video Transformer Without Convolutions,ICCV,10,2021,VidTr,,,,,,,,,
"Wang, Zhe; Chen, Hao; Li, Xinyu; Liu, Chunhui; Xiong, Yuanjun; Tighe, Joseph; Fowlkes, Charless; ",Unsupervised Action Segmentation with Self-supervised Feature Learning and Co-occurrence Parsing,arXiv preprint,5,2021,UnsupVideo,,,,,,,,,
"Xiao, Fanyi; Tighe, Joseph; Modolo, Davide; ",MoDist: Motion Distillation for Self-supervised Video Representation Learning,arXiv preprint,6,2021,MoDist,,,,,,,,,
"Fei, Xiaohan; Wang, Henry; Zeng, Xiangyu; Cheong, Lin Lee; Wang, Meng; Tighe, Joseph; ",Single View Physical Distance Estimation using Human Pose,ICCV,10,2021,PhysicalDistance,,,,,,,,,